County,hispanic_2013,black_2013,white_2013,other_2013,Total_2013,hispanic_2014,black_2014,white_2014,other_2014,Total_2014,hispanic_2015,black_2015,white_2015,other_2015,Total_2015,hispanic_2016,black_2016,white_2016,other_2016,Total_2016,hispanic_2017,black_2017,white_2017,other_2017,Total_2017
Lee,31.1503706,21.42349477,43.13128236,4.294852269,9849,31.69557806,21.32758448,42.08362579,4.893211672,9973,32.78020668,21.00556439,41.57392687,4.640302067,10064,33.59507007,21.50879634,40.15505417,4.741079416,10061,35.65977104,20.81743322,38.3109058,5.211889936,9958
Lenoir,11.39365918,45.10127697,40.12549538,3.379568472,9084,11.57331586,46.8500928,38.06092368,3.515667649,9159,11.99912654,47.21039415,37.58052189,3.209957419,9159,12.85602591,47.2914107,36.68044231,3.172121077,8953,13.70181143,46.55132373,35.68276823,4.064096605,8612
Lincoln,10.54477038,6.072008894,79.9110579,3.472162832,11693,10.49633146,5.999136815,79.55114372,3.953388002,11585,10.75268817,6.047311828,79.50107527,3.698924731,11625,10.91004002,6.177135897,78.4409257,4.471898382,11494,11.09736703,6.158331861,77.47835307,5.265948043,11318
Macon,13.44345033,0.779995412,81.76187199,4.014682267,4359,14.24959779,0.781429556,80.87795909,4.09101356,4351,15.87699317,0.683371298,79.52164009,3.917995444,4390,17.27210418,0.822481151,78.22709618,3.678318483,4377,19.23519926,0.621976503,76.61829072,3.52453352,4341
Madison,3.576923077,0.346153846,94.03846154,2.038461538,2600,3.281312525,0.360144058,94.31772709,2.040816327,2499,3.214142226,0.482121334,94.41542788,1.888308558,2489,3.599503517,0.372362433,94.49731072,1.530823335,2417,4.1173894,0.219010074,93.47349978,2.190100745,2283
Martin,5.355600346,50.99337748,40.6852865,2.965735675,3473,5.837264151,51.6509434,39.38679245,3.125,3392,7.027027027,51.98198198,37.53753754,3.453453453,3330,7.210800859,52.28597729,37.2506904,3.252531451,3259,8.540575916,50.68717277,36.97643979,3.795811519,3056
McDowell,10.85696381,3.023656588,80.82406392,5.295315682,6383,11.02709515,3.040327662,80.74984247,5.18273472,6348,11.64405175,2.887346166,80.54591354,4.922688545,6338,12.45796637,2.914331465,79.88791033,4.739791833,6245,13.55680317,2.906208719,78.58322325,4.953764862,6056
Mecklenburg,18.44592056,41.71245064,31.63028761,8.211341193,141061,19.45856732,41.23756041,30.79144841,8.512423859,142991,20.9606296,40.45045851,29.94709795,8.641813942,145363,21.95653365,39.65961412,29.40350252,8.980349704,145952,24.11389871,38.14086686,28.03697093,9.708263493,147359
Mitchell,6.95479384,0.149031297,91.3065077,1.589667163,2013,8.473711077,0.153139357,89.07605921,2.297090352,1959,8.290685773,0.307062436,89.45752303,1.944728762,1954,8.597046414,0.26371308,89.1350211,2.004219409,1896,11.10512129,0.269541779,85.98382749,2.641509438,1855
Montgomery,31.37964303,19.87457791,44.59720212,4.148576942,4146,31.73146583,20.40569911,43.61265395,4.250181116,4141,32.49327135,20.28382677,42.64741864,4.57548324,4087,33.26698184,19.70639463,42.1497885,4.876835034,4019,33.87055513,19.54464057,40.88002047,5.704783831,3909
Moore,11.51964652,17.91068329,65.63042449,4.9392457,12674,12.00123964,17.47888743,65.11195475,5.407918184,12907,12.43607624,17.02309004,64.9930265,5.547807221,12906,12.45518316,16.90568979,64.87139517,5.767731878,12830,13.42775756,15.93606583,64.17154613,6.464630476,12638
Nash,10.40078082,49.64314036,34.60623437,5.349844446,16393,10.3192418,50.01247038,34.16884898,5.499438833,16038,11.38078471,50.77339034,33.2054829,4.640342052,15904,11.87967043,51.76598327,31.94737178,4.406974516,15657,12.6715735,52.19149924,30.58815728,4.548769979,15081
New Hanover,9.76574992,21.4862488,63.07163415,5.676367125,25016,10.25721702,22.03256509,61.72028632,5.989931566,25426,11.39731286,21.23608445,61.52015355,5.846449136,26050,12.08647986,20.55046575,61.62839729,5.734657109,26087,13.65734559,19.13935833,60.8324114,6.370884677,26213
Northampton,2.796208531,79.95260664,15.26066351,1.990521327,2110,3.166098393,78.27569411,15.73307355,2.82513395,2053,3.263052209,77.10843373,15.76305221,3.865461847,1992,4.146472806,76.41357027,15.5627356,3.877221325,1857,4.080389769,82.33861145,10.29232643,3.28867235,1642
Onslow,11.339711,19.33314654,60.30901013,9.01813233,24983,11.65295497,19.21624737,59.73530464,9.395493025,25161,12.47316026,19.19187976,58.94983408,9.385125903,25615,13.36797537,19.17628945,57.49422633,9.961508853,25980,14.52094112,18.7356018,56.15770988,10.5857472,26479
Orange,15.70247934,16.21731473,63.66346024,4.416745698,7381,16.62707838,15.5054104,62.60226973,5.265241489,7578,18.25913621,15.94684385,61.02325581,4.77076412,7525,19.77701088,15.34377489,59.51685692,5.362357314,7534,23.55513048,14.19592841,56.07323405,6.175707066,7319
Pamlico,4.761904762,24.04371585,66.82279469,4.371584699,1281,5.946791862,22.84820031,64.94522692,6.259780908,1278,5.849802372,23.08300395,64.50592885,6.561264822,1265,7.644787645,22.62548263,63.3976834,6.332046332,1295,8.158319871,21.48626817,62.19709208,8.158319871,1238
Pasquotank,5.127762431,43.78453039,46.37430939,4.71339779,5792,5.414908579,43.81153305,44.91912799,5.85443038,5688,6.363166063,43.97309881,44.14554233,5.518192792,5799,6.913238852,43.88178362,43.3805738,5.824403733,5786,8.23699422,44.85187861,40.85982659,6.051300578,5536
Pender,11.36604306,16.9196376,68.16096011,3.553359219,8499,11.54681605,16.46278724,68.03475477,3.955641934,8747,12.01765305,15.89906077,68.36030327,3.722982913,8837,12.85475793,14.99165275,67.76850306,4.385086255,8985,14.16522491,14.05709343,66.81444637,4.963235298,9248
Perquimans,2.011173184,30.11173184,64.41340782,3.463687151,1790,2.581369248,30.41526375,63.69248036,3.310886644,1782,3.070683662,29.14252607,64.0787949,3.707995365,1726,3.161592506,27.16627635,65.69086651,3.981264637,1708,3.314571607,26.95434647,65.66604128,4.065040651,1599
Person,8.442657639,34.3842573,51.96783749,5.205247567,4726,8.398607485,35.16100957,50.97911227,5.46127067,4596,8.744588745,34.76190476,51.21212121,5.281385281,4620,8.64465682,34.6872285,51.17289314,5.495221546,4604,9.332732191,34.91884581,49.72948602,6.018935979,4436
Pitt,9.827622898,47.79314748,37.82932539,4.549904235,23495,10.03302007,47.53619507,37.46930827,4.96147659,23622,10.7201275,47.92182192,36.28318584,5.07486474,23843,11.11442447,48.20226634,35.46902956,5.214279629,23474,11.55517682,46.62974009,35.87984661,5.935236474,23470
Polk,11.57024793,5.698129622,79.12135711,3.610265333,2299,12.25209343,5.773468488,78.05200529,3.92243279,2269,12.6984127,5.423280423,77.8659612,4.012345679,2268,11.94852941,5.606617647,77.94117647,4.503676471,2176,12.48213435,5.240590758,77.17960934,5.097665555,2099
Randolph,14.36175991,3.726235741,77.28951657,4.622487778,18410,15.09475662,3.663185811,76.48488867,4.757168904,18099,16.01874059,3.703497128,75.35835797,4.919404317,17929,16.63547161,3.749078328,74.31229085,5.303159208,17631,18.03200096,3.727452508,72.15796728,6.082579252,16687
Richmond,9.272131148,37.03606557,45.66557377,8.026229508,7625,9.531926052,36.67234824,45.12914645,8.666579258,7627,10.39132734,36.72659968,44.80433633,8.077736647,7564,10.76571121,36.09204683,44.69115866,8.4510833,7431,11.9844466,35.32842661,43.57728093,9.109845859,7201
Robeson,12.17031692,25.37873992,15.51673208,46.93421108,23697,13.211227,25.32010515,14.66971933,46.79894853,23586,14.07071392,25.11446498,13.89265728,46.92216381,23588,14.82618895,24.63211772,13.74706761,46.79462572,23445,16.38100339,23.65202642,12.78789502,47.17907517,22404
Rockingham,11.32876508,19.9016833,62.91523909,5.854312528,13426,11.56161878,19.70886365,62.8153342,5.91418337,13121,12.33118478,19.60558625,62.07796194,5.985267035,13032,12.89562554,19.0607084,61.9571193,6.086546768,12733,13.97405173,19.44467399,60.10247087,6.478803406,12101
Rowan,13.25548762,18.64789015,63.77668638,4.319935852,19954,13.71589935,18.67782764,62.80570823,4.800564772,19831,14.75746643,18.60092203,61.88614953,4.755462016,19956,15.55228874,18.58873625,60.89623359,4.96274142,19727,17.56686168,18.56978688,58.19055579,5.672795654,19144
Rutherford,6.170703576,12.43367935,73.8638985,7.53171857,8670,6.526833841,12.37403328,73.72861495,7.370517928,8534,6.81166348,12.59560229,73.41061185,7.182122371,8368,6.855763428,12.04586602,73.74773687,7.350633675,8285,8.209325397,12.15277778,72.37103175,7.266865079,8064
Sampson,32.85532555,20.44639759,42.09552446,4.6027524,8647,33.46149365,19.96970756,41.69870675,4.870092042,8583,35.27014439,19.31765254,40.75454122,4.657661854,8588,35.90866067,19.3800284,40.26265973,4.448651207,8452,38.76540227,18.22904083,38.36675525,4.638801644,8278
